INPUT,TIME,RESULT1, RESULT2
20,0.000000000000,4,4
32,0.000000000000,4,4
14,0.000000000000,1,4
45,0.000000000000,1,3
21,0.001000000000,1,4
45,0.001000000000,9,9
49,0.001000000000,1,4
18,0.000000000000,1,4
20,0.000000000000,1,3
2,0.000000000000,1,2
2,0.000000000000,1,1
36,0.000000000000,4,6
48,0.000000000000,1,4
56,0.001000000000,4,6
56,0.000000000000,4,5
7,0.000000000000,1,1
9,0.001000000000,1,4
16,0.000000000000,4,6
90,0.001000000000,4,6
20,0.000000000000,1,3
20,0.000000000000,4,4
8,0.000000000000,1,4
7,0.000000000000,1,2
6,0.000000000000,1,2
36,0.000000000000,4,6
45,0.000000000000,1,4
40,0.001000000000,4,4
36,0.000000000000,4,4
48,0.000000000000,4,6
72,0.001000000000,4,5
80,0.000000000000,4,6
36,0.000000000000,4,5
48,0.000000000000,1,4
6,0.000000000000,1,1
8,0.000000000000,1,3
27,0.000000000000,4,4
24,0.000000000000,4,4
8,0.000000000000,1,2
60,0.000000000000,4,4
100,0.001000000000,4,6
14,0.000000000000,1,2
7,0.000000000000,1,1
100,0.001000000000,4,4
100,0.001000000000,4,12
40,0.001000000000,4,5
35,0.000000000000,1,3
4,0.000000000000,1,1
30,0.000000000000,4,4
60,0.000000000000,4,6
8,0.000000000000,1,2
56,0.000000000000,4,8
1,0.000000000000,0,0
40,0.000000000000,4,6
20,0.000000000000,4,5
25,0.000000000000,1,3
56,0.000000000000,9,9
9,0.000000000000,1,2
30,0.000000000000,1,5
10,0.000000000000,1,4
20,0.000000000000,1,2
16,0.000000000000,1,3
10,0.000000000000,1,1
24,0.000000000000,1,3
21,0.000000000000,1,2
40,0.000000000000,4,8
10,0.000000000000,1,3
36,0.000000000000,4,4
3,0.000000000000,1,1
60,0.000000000000,4,8
42,0.001000000000,1,4
9,0.000000000000,1,3
12,0.000000000000,1,2
35,0.000000000000,1,5
21,0.000000000000,1,3
24,0.000000000000,4,4
56,0.001000000000,4,8
3,0.000000000000,1,1
20,0.000000000000,1,3
30,0.000000000000,1,3
40,0.001000000000,4,5
80,0.000000000000,4,6
54,0.001000000000,1,3
9,0.000000000000,1,7
63,0.000000000000,4,8
36,0.000000000000,4,4
35,0.000000000000,4,5
28,0.000000000000,4,6
35,0.000000000000,4,8
6,0.000000000000,0,0
21,0.000000000000,1,3
24,0.000000000000,4,4
48,0.001000000000,4,6
1,0.000000000000,0,0
10,0.000000000000,1,2
10,0.000000000000,1,3
12,0.000000000000,1,2
56,0.000000000000,1,6
70,0.001000000000,9,9
10,0.000000000000,1,2
14,0.000000000000,4,4
9120,207.241000000000,16,16
270,0.011000000000,4,6
2496,3.635000000000,9,16
752,0.117000000000,4,10
4437,20.104000000000,9,15
7448,88.185000000000,9,15
2196,2.522000000000,9,11
430,0.028000000000,4,8
4565,21.416000000000,9,14
3100,6.952000000000,9,15
1960,1.841000000000,9,10
288,0.012000000000,9,12
539,0.047000000000,9,11
979,0.264000000000,4,8
6970,73.432000000000,9,15
1944,1.836000000000,9,12
500,0.044000000000,4,10
1720,1.330000000000,9,12
760,0.122000000000,9,14
1960,1.935000000000,4,13
2904,5.890000000000,9,15
3150,6.986000000000,9,14
520,0.046000000000,9,9
520,0.040000000000,9,11
776,0.148000000000,9,12
385,0.019000000000,4,8
1560,0.970000000000,16,16
1395,0.680000000000,9,12
485,0.044000000000,4,8
1711,1.238000000000,9,10
6650,67.815000000000,9,12
4914,27.326000000000,16,16
133,0.001000000000,4,8
999,0.263000000000,4,11
120,0.002000000000,4,10
4356,18.792000000000,9,15
2790,5.210000000000,9,17
648,0.081000000000,9,12
44,0.000000000000,1,6
196,0.002000000000,4,8
5073,29.636000000000,16,16
4757,24.206000000000,9,14
1242,0.561000000000,9,10
9216,172.261000000000,9,15
54,0.000000000000,4,6
1692,1.211000000000,9,13
2450,3.422000000000,9,12
4876,32.826000000000,9,14
54,0.000000000000,1,5
1496,1.004000000000,9,12
2800,6.032000000000,9,13
747,0.146000000000,9,9
2538,4.623000000000,16,16
1702,1.603000000000,9,11
930,0.288000000000,9,12
2345,3.688000000000,9,15
1292,0.651000000000,4,10
1178,0.497000000000,9,12
1350,0.748000000000,9,14
988,0.298000000000,9,10
190,0.003000000000,4,8
1891,2.018000000000,9,10
280,0.008000000000,4,8
1092,0.445000000000,9,13
5525,47.947000000000,9,12
931,0.300000000000,4,10
2601,4.989000000000,9,11
1403,0.853000000000,16,16
1776,1.739000000000,9,12
2652,5.442000000000,9,14
180,0.003000000000,4,7
1924,2.089000000000,9,12
1776,1.760000000000,9,14
4914,32.751000000000,9,15
3696,14.716000000000,9,12
2912,7.042000000000,9,18
754,0.130000000000,4,9
3570,12.401000000000,9,12
2430,4.241000000000,9,13
6100,63.224000000000,9,12
2952,7.360000000000,9,14
2992,7.707000000000,9,12
7140,103.592000000000,9,15
1100,0.447000000000,4,10
4230,20.523000000000,9,12
1232,0.615000000000,9,10
4352,23.000000000000,9,12
2660,5.467000000000,9,10
208,0.004000000000,4,8
3871,16.122000000000,9,12
5022,34.994000000000,9,13
392,0.025000000000,4,10
42,0.000000000000,1,7
4410,24.882000000000,9,14
117,0.001000000000,4,6
9118,210.503000000000,9,16
5688,52.189000000000,9,15
8100,146.009000000000,9,12
3825,15.789000000000,9,14
2728,6.015000000000,9,15
